,index,파일번호,왼쪽 광대뼈 수직 비율,오른쪽 광대뼈 수직 비율,왼쪽 눈썹 수직 비율,오른쪽 눈썹 수직 비율,왼쪽눈 수직 비율,오른쪽눈 수직 비율,입 수직 비율,입 수평 비율,왼눈 수평 비율,오른눈 수평 비율,왼눈 오른쪽 각도,왼눈 왼쪽 각도,오른눈 오른쪽 각도,오른눈 왼쪽 각도,입술 왼쪽 각도,입술 오른쪽 각도
862,1354,2823,0.5791471931397887,0.5791471931397887,0.17655613788661215,0.17655613788661215,0.07490642541583835,0.07895830523185818,0.11624763874381927,0.40665667313527204,0.2159010320600018,0.22254568996581306,33.111341960372044,52.125016348901795,63.434948822922024,30.96375653207349,27.474431626277124,0.0
863,1358,2831,0.5958833133063244,0.5834485772958335,0.15089476720294434,0.1749453381214215,0.07844645405527362,0.07903224778456783,0.11351915229662496,0.34278864021997196,0.19460170216420797,0.19611613513818402,31.26373169437744,60.25511870305775,60.25511870305775,30.96375653207349,29.475889003245754,0.0
864,1360,2836,0.5820113412685252,0.5910106289901036,0.1752618713510958,0.150873958436769,0.06531624303414552,0.05603318146805258,0.13254270092150516,0.3841106397986879,0.1790089352379585,0.23505024736113422,33.69006752597977,63.434948822922024,33.69006752597977,28.072486935852965,41.30861401354872,0.0
865,1363,2845,0.5414596195411195,0.5665577237325317,0.137360563948689,0.1388888888888889,0.06023659207386686,0.06211299937499416,0.12496095580101535,0.4,0.19991841729213894,0.20194809793050483,25.34617594194671,45.0,45.0,26.565051177077976,26.565051177077976,0.0
866,1364,2846,0.5510235412440937,0.5454914991177736,0.1287645559959301,0.12493900951088485,0.04552514536059855,0.04417261042993862,0.11409958107702589,0.32258473879832533,0.1609556949949126,0.19314683399389515,18.434948822922024,26.565051177077976,18.434948822922024,18.434948822922024,32.47119229084848,0.0
867,1365,2849,0.5732815062369083,0.5604096331399914,0.16760038078849773,0.14285714285714285,0.07495316889958614,0.053239713749995,0.0651558364144604,0.440985774028391,0.20665663434878623,0.20665663434878623,31.26373169437744,63.434948822922024,45.0,21.801409486351815,26.565051177077976,0.0
868,1368,2853,0.5509608975905025,0.544906484566918,0.1945510564102407,0.1941450686788302,0.08700587744553888,0.07844645405527362,0.1530432982478542,0.40135517045464697,0.21496368596018361,0.2166365803419133,37.874983651098205,45.0,40.60129464500446,26.565051177077976,35.537677791974374,11.30993247402023
869,1371,2858,0.5520819871612778,0.548730327552333,0.15919317118967338,0.1858235365617916,0.05852057359806529,0.07432941462471665,0.12403473458920845,0.3599627351986693,0.20055615741539257,0.20055615741539257,25.34617594194671,26.565051177077976,40.60129464500446,26.565051177077976,23.962488974578207,0.0
870,1372,2860,0.5708263279047432,0.588790181449868,0.14417529904228596,0.16279069767441862,0.07495316889958614,0.052001580872088136,0.10859306069076735,0.3540114603909865,0.17925163190605437,0.20645326546139234,37.874983651098205,60.25511870305775,45.0,21.801409486351815,29.475889003245754,11.30993247402023
871,1373,2863,0.5399673991789126,0.5441031382470004,0.15038662480192644,0.13936993422773916,0.05528322276085581,0.05787021532563389,0.0742678921300052,0.40725134565349863,0.19574007317156786,0.19377278632539327,26.565051177077976,45.0,45.0,25.34617594194674,16.927513064147035,0.0
872,1374,2865,0.5227119709192877,0.536340755514463,0.13117080903335113,0.1442339881184422,0.03710070742448329,0.026783579200279007,0.1620908956266212,0.5008317166824323,0.17859605741487666,0.17616606585441102,18.434948822922024,26.565051177077976,26.565051177077976,14.036243467926454,21.370622269343187,26.565051177077976
873,1375,2870,0.5609078521349482,0.5708263279047432,0.09838974596144753,0.14990633779917226,0.031113569564352756,0.06573827785585624,0.08770580193070293,0.39968038348871576,0.18210783977117087,0.21428571428571427,18.434948822922024,26.565051177077976,45.0,32.47119229084848,36.86989764584405,0.0
874,1377,2872,0.5565106113672493,0.5479624185009005,0.133768502974962,0.15591702365502044,0.05866136913244332,0.05731623781225858,0.11891287353862351,0.3870967741935484,0.17135864339326193,0.19991841729213894,25.34617594194671,71.56505117707798,45.0,25.34617594194674,33.111341960372044,8.130102354155952
875,1378,2875,0.5516327061858611,0.555681446233708,0.14466375430616596,0.1666194456240227,0.05317945372643963,0.05322462954123495,0.08888888888888889,0.40625,0.21216467758680393,0.21216467758680393,26.565051177077976,32.471192290848535,45.0,21.801409486351815,29.475889003245754,0.0
876,1379,2876,0.5604316881451255,0.559273533475259,0.17672460256077865,0.20645326546139234,0.07282497321406947,0.08097763301789161,0.11337314689562955,0.42080003736120725,0.22086305214969307,0.20098841126645742,33.111341960372044,52.125016348901795,63.434948822922024,36.86989764584405,22.6198649480404,0.0
877,1380,2878,0.5999741396030309,0.5829076503596186,0.1694237941747953,0.16910191710438055,0.0622814254039606,0.05800147905657416,0.09175886398147584,0.3788527573671675,0.24585451886114368,0.17888543819998318,26.565051177077976,33.69006752597977,53.13010235415595,28.072486935852965,26.565051177077976,0.0
878,1381,2879,0.5125743040167324,0.5308219739672405,0.1271540355119273,0.14512159026911448,0.056865013403618346,0.0762215933966706,0.11381286340149636,0.40670063364273895,0.19307681882689376,0.2222481086714011,26.565051177077976,45.0,40.60129464500446,33.69006752597977,35.13419305691565,8.972626614896399
879,1382,2880,0.5826856325833838,0.57261503763892,0.15015465060444594,0.13663739713703102,0.08143279274805704,0.048308615039636994,0.1011702255324591,0.4549364934963495,0.19104017997521752,0.23241040970693627,32.47119229084848,71.56505117707798,26.565051177077976,18.434948822922024,37.23483398157464,0.0
880,1384,2885,0.5888798183572307,0.5834485772958335,0.15515434001588377,0.19993752928162456,0.08066090051461264,0.07903224778456783,0.11615349838117045,0.34285714285714286,0.19658196984467896,0.22079738749768446,30.963756532073518,60.25511870305775,47.72631099390625,31.26373169437744,31.75948008481282,0.0
881,1386,2888,0.5630542185569408,0.588348405414552,0.1716501079979907,0.1917412472118426,0.0767642619657375,0.08574929257125441,0.134873114922175,0.3151429334336258,0.20323743847971518,0.2081951777166736,31.26373169437744,45.0,59.03624346792648,30.96375653207349,30.068582821862435,9.462322208025626
882,1387,2890,0.5755533452259189,0.5549166983981915,0.14957989648326844,0.12496095580101535,0.07883552750988976,0.05588423834088341,0.13636363636363635,0.3548387096774194,0.19641855032959654,0.22395160411940415,37.874983651098205,63.434948822922024,45.0,21.801409486351815,30.068582821862435,11.30993247402023
883,1388,2891,0.5442668601838069,0.5229763603684907,0.15661513939205382,0.13476792334377333,0.06868028197434452,0.07308816827558577,0.09428090415820635,0.3834824944236852,0.21081851067789195,0.16537964611894462,45.0,45.0,71.56505117707798,45.0,14.03624346792651,0.0
884,1389,2893,0.5823888986478818,0.5928906619407787,0.14077312659286823,0.13139708280690918,0.06173309979059935,0.07883824968414552,0.10278895211157858,0.3793103448275862,0.20788268748151587,0.23702273156998857,26.565051177077976,45.0,52.125016348901795,30.96375653207349,34.2157021324374,0.0
885,1392,2901,0.5915310945159689,0.579060940402905,0.14979266042042172,0.17052893799693358,0.05506487711171321,0.07703712157713453,0.09032775043542897,0.3943795432748831,0.20611564746694744,0.21081851067789198,21.801409486351815,45.0,63.434948822922024,30.96375653207349,28.61045966596521,8.972626614896399
886,1395,2909,0.5454914991177736,0.5484796035575729,0.15926661187623908,0.14403780047891934,0.04417261042993862,0.0455487518674277,0.09513029883089882,0.4190009519712443,0.20370021093167764,0.16422836039139668,19.65382405805329,26.565051177077976,26.565051177077976,14.036243467926454,27.64597536373867,14.036243467926482
887,1396,2910,0.5756446516689646,0.6214809185406193,0.17738402806339715,0.15144563320384566,0.07011719365194521,0.06772854614785964,0.12121830534626528,0.42190046219457966,0.19999999999999998,0.23780606413195404,33.69006752597977,63.434948822922024,45.0,29.744881296942253,36.25383773744477,9.162347045721674
888,1397,2911,0.5336590349340246,0.536340755514463,0.16070147520167405,0.13656999298608047,0.037877700953928506,0.05988990377257332,0.12716431598536546,0.42080003736120725,0.2065480961930069,0.2065480961930069,14.036243467926482,26.565051177077976,33.69006752597977,25.34617594194674,20.224859431168056,0.0
889,1398,2914,0.5615541821234109,0.5617707893376856,0.11106826896141314,0.1111111111111111,0.06208904988523744,0.06211299937499416,0.1,0.3681787005729087,0.21427478217774168,0.21427478217774168,26.565051177077976,45.0,45.0,26.565051177077976,31.75948008481282,11.30993247402023
890,1399,2916,0.5990917217664662,0.588430114796991,0.20055615741539257,0.175,0.07866459694094409,0.05590169943749475,0.09279768379871821,0.4377604838780405,0.2379702381688594,0.21187142979276594,31.26373169437744,47.72631099390628,45.0,21.801409486351815,24.44395478041656,9.462322208025626
891,1400,2917,0.5782466371710492,0.5929873412882476,0.12711846850156241,0.1555088632070459,0.05574513610066167,0.057166195047502956,0.09302325581395349,0.42839660848315486,0.19190413092849798,0.19042222357031166,21.801409486351815,45.0,45.0,20.772254682045855,28.300755766006375,9.462322208025626
892,1402,2920,0.5611684468205076,0.5695284068703638,0.18280870640165578,0.18817748237374535,0.08016692097435824,0.07527099294949814,0.07520710469952335,0.3655068875853075,0.2555622163859946,0.19425717247145283,30.963756532073518,45.0,53.13010235415595,33.69006752597977,28.61045966596521,0.0
893,1404,2925,0.5669276085010997,0.5535549652812333,0.14979266042042172,0.1476590061121711,0.07787349602179265,0.0767642619657375,0.133986754072411,0.4307845919572184,0.17895849739771977,0.23570226039551584,37.874983651098205,60.25511870305775,47.72631099390625,30.96375653207349,26.565051177077976,7.815293546766895
894,1405,2927,0.5795315762759564,0.5882352941176471,0.133768502974962,0.13413828530578092,0.08295970381447579,0.05882352941176471,0.09513029883089881,0.3748170285326546,0.19083135479350186,0.22254568996581306,37.874983651098205,63.434948822922024,33.69006752597977,26.565051177077976,31.607502246248885,11.30993247402023
895,1406,2928,0.5708263279047432,0.5999700770515736,0.12121539504758783,0.12353268053347082,0.06573827785585624,0.05992215177119797,0.08061138223506886,0.39786548384025605,0.19026059766179765,0.2105798931586654,33.69006752597977,45.0,53.13010235415595,22.61986494804046,33.69006752597977,0.0
896,1407,2930,0.5231114091403657,0.5519656300211192,0.12494259471568668,0.1542327467326065,0.030303030303030304,0.06763553368079128,0.08330120172105986,0.3926068356365373,0.19621814613865224,0.1935483870967742,14.036243467926482,26.565051177077976,45.0,32.47119229084848,20.55604521958344,11.30993247402023
897,1408,2932,0.5502178895922936,0.5553539385808319,0.13344743975843895,0.1616317375321096,0.052342392259021375,0.06023659207386686,0.12403473458920845,0.43365089339828733,0.2105798931586654,0.21271781490575853,28.072486935852936,36.86989764584405,45.0,26.565051177077976,25.346175941946683,8.972626614896399
